id,LANDSAT_SCENE_ID,Hylak_id,date,date_start,date_end,ice_fraction_visual,comission,omission,notes,comments
MICH03,LT50210311988005XXX03,111349,1988-01-05,1987-03-17,1988-01-06,4,,,,
JK10,LT51890161992297KIS00,12280,1992-10-23,1992-05-11,1992-10-31,NA,,,cloud,
WRS233,LT50210121990186PAC00,2391,1990-07-05,1990-06-20,1990-10-02,4,,,,
JJM26,LT50250302003026LGS01,110973,2003-01-26,2002-04-04,2003-01-27,5,,,,good example showing RF over Fmask in detecting dark ice
KMS4,LT50150291994331XXX02,109744,1994-11-27,1994-04-26,1994-11-27,5,,,,
PJD2,LT50170291991353AAA02,8896,1991-12-19,1991-04-17,1991-12-19,5,,,,
JK12,LT51910162004328KIS00,1105,2004-11-23,2004-05-04,2004-11-23,NA,,,cloud,
KMS14,LT50150301993120AAA02,9102,1993-04-30,1993-04-16,1994-01-06,NA,,,cloud,
EK10,LT51880161991127KIS00,12250,1991-05-07,1991-04-30,1991-12-25,5,,,,
WRS237,LT50350201990140PAC00,73259,1990-05-20,1990-05-16,1991-02-11,5,,,,
MICH03,LT50210311989023XXX02,111349,1989-01-23,1988-03-21,1989-02-04,3,,,,
JK19,LE71870172003129KIS00,1132,2003-05-09,2003-05-09,2003-12-07,NA,,,cloud,
WRS214,LT50280251990315XXX02,961464,1990-11-11,1990-04-29,1990-11-22,5,,,,
JK16,LE71870172003129KIS00,12618,2003-05-09,2003-05-08,2003-12-07,NA,,,cloud,
WRS366,LT50290241988333XXX01,650,1988-11-28,1988-05-05,1988-11-29,5,,,cloud,
JK21,LT51890161992297KIS00,1114,1992-10-23,1992-05-10,1992-10-31,NA,,,cloud,
NEUS,LT51900271985332FUI00,1242,1985-11-28,1985-03-11,1985-11-28,NA,,,cloud,
GW592,LT51940121986299XXX03,11572,1986-10-26,1986-05-26,1986-11-10,1,TRUE,,,"Fmask better than RF, poor img quality mess with texture detector in RF"
KMS14,LT50150301998038XXX01,9102,1998-02-07,1997-04-07,1998-02-16,5,,,,RF better than Fmask in detecting dark ice
JK49,LT51890172005108KIS00,12657,2005-04-18,2004-11-20,2005-04-19,3,,TRUE,,missed dark ice
JD01,LE70240301999352EDC00,9091,1999-12-18,1999-12-18,2000-03-06,1,,,,
CS1,LT50150291998102PAC00,110226,1998-04-12,1997-11-25,1998-04-12,1,,,,
GW202,LE71950182000113SGS00,12717,2000-04-22,1999-12-14,2000-04-26,3,,TRUE,,missed some dark ice
KMS10,LT50140301995087XXX01,767,1995-03-28,1995-02-13,1995-03-28,1,,TRUE,,missed some dark ice
WRS346,LT50270261985118XXX01,8275,1985-04-28,1984-11-11,1985-04-30,5,,TRUE,,missed some dark ice
WRS275,LT50170271992132PAC03,8371,1992-05-11,1991-12-02,1992-05-11,NA,,,unclear,
JK42,LT51890152006127KIS00,12019,2006-05-07,2005-12-08,2006-05-09,4,,TRUE,,missed some dark ice
PJD27,LT50160291986092XXX03,109687,1986-04-02,1985-12-16,1986-04-09,5,,TRUE,,missed uniform dark ice
MICH06,LT50210311984330XXX07,1050788,1984-11-25,1984-11-20,1985-03-17,1,,,,
JGL02,LT50270301986329XXX03,9069,1986-11-25,1986-11-13,1987-03-08,3,,,,good example showing different perspective between in situ and satellite
JJM27,LE70230302003084EDC00,9110,2003-03-25,2003-01-22,2003-03-31,1,,,,
WRS322,LT50470161992150PAC00,52043,1992-05-29,1991-10-18,1992-06-02,4,,,,
JK43,LT51890181985133KIS00,155918,1985-05-13,1984-11-27,1985-05-14,5,,TRUE,,missed really dark ice
JGL03,LT50280302002364LGS01,9069,2002-12-30,2002-12-26,2003-03-27,5,,TRUE,,missed really dark ice
WRS223,LT50410221987126PAC04,551,1987-05-06,1986-12-20,1987-05-07,3,,TRUE,,missed some dark ice at the edge; good example
KMS15,LE70150292001118EDC00,110381,2001-04-28,2000-12-09,2001-05-03,NA,,TRUE,lake surface incomplete,missed some dark ice; part of lake not shown in img
WRS212,LT50360241985117PAC00,631,1985-04-27,1984-10-30,1985-05-02,4,,TRUE,,missed some uniform ice
EK11,LT51900151990122KIS00,12155,1990-05-02,1989-11-22,1990-05-04,1,,,,
JK10,LT51890162006127KIS00,12280,2006-05-07,2005-12-05,2006-05-07,1,,,,
WRS231,LT50550191986157XXX01,5124,1986-06-06,1985-11-26,1986-06-07,1,,,,
JK04,LT51890171996132KIS00,1144,1996-05-11,1995-11-20,1996-05-11,1,,TRUE,,missed some dark ice
JJM27,LT50240301995349XXX01,9110,1995-12-15,1995-12-11,1996-04-02,3,,,,
MINN2,LT50290281998344XXX01,8616,1998-12-10,1998-12-07,1999-04-13,2,,TRUE,,missed some really dark ice
JK48,LT51910162006125KIS00,12290,2006-05-05,2005-12-04,2006-05-06,5,,TRUE,,missed some really dark ice
JJM27,LT50240301996080XXX01,9110,1996-03-20,1995-12-11,1996-04-02,5,,TRUE,,missed some uniform ice
JGL01,LE70280302000063EDC00,9065,2000-03-03,1999-12-16,2000-03-06,5,,TRUE,,missed uniform ice
JK23,LT51890161994126KIS00,1109,1994-05-06,1993-11-08,1994-05-08,5,,TRUE,,missed dark ice
JJM22,LT50260281997112XXX01,8787,1997-04-22,1996-11-24,1997-04-24,4,,TRUE,,missed dark ice
JK24,LT51890161994126KIS00,12159,1994-05-06,1993-10-21,1994-05-07,5,,TRUE,,missed dark ice
JJM2,LT50250282000338XXX02,108077,2000-12-03,2000-12-03,2001-04-22,2,,,,
JK09,LT51880161988135KIS00,1110,1988-05-14,1987-11-16,1988-05-16,5,,,,good example contrasting Fmask and RF
WRS233,LT50230121990280PAC00,2391,1990-10-07,1990-10-02,1991-06-15,2,,,,
JK36,LT51890142006127KIS00,11852,2006-05-07,2005-11-18,2006-05-08,1,,,,
JK19,LT51890171996132KIS00,1132,1996-05-11,1995-11-08,1996-05-11,1,,TRUE,,missed some dark ice
KMS25,LT50160301994098PAC03,1049409,1994-04-08,1993-12-24,1994-04-20,1,,,,
DMR1,LT50240301994090XXX02,9086,1994-03-31,1993-12-27,1994-03-31,2,,,,
JK21,LT51880161998130KIS00,1114,1998-05-10,1997-11-05,1998-05-11,5,,TRUE,cloud,missed some dark ice
EK17,LT51900161992128KIS00,152593,1992-05-07,1991-12-06,1992-05-08,5,,TRUE,,missed some dark ice
KMS8,LT50170311988089AAA03,9129,1988-03-29,1987-12-17,1988-03-29,3,,TRUE,,missed some dark ice
JK20,LT51890161993123KIS00,152248,1993-05-03,1992-10-27,1993-05-07,NA,,,unclear,haze
JK15,LT51890171996132KIS00,1139,1996-05-11,1995-11-21,1996-05-11,2,,TRUE,,missed dark ice
JK10,LT51890161993123KIS00,12280,1993-05-03,1992-10-31,1993-05-05,NA,,,unclear,
JK14,LT51890172005108KIS00,12565,2005-04-18,2004-11-24,2005-04-29,5,,TRUE,,missed some dark ice
MICH06,LT50210301992064AAA02,1050788,1992-03-04,1991-12-16,1992-03-05,5,,TRUE,,missed some dark ice
JJM4,LE70250282000090EDC00,1032388,2000-03-30,1999-12-17,2000-03-31,3,,,,
MICH06,LT50210301995328AAA01,1050788,1995-11-24,1995-11-17,1996-03-19,1,,,,
JK06,LT51890161996132KIS00,12152,1996-05-11,1995-11-17,1996-05-22,5,,TRUE,,missed some dark ice
JJM26,LT50240301999088XXX01,110973,1999-03-29,1998-12-31,1999-03-29,1,,,,
WRS434,LT50480241986092PAC02,93274,1986-04-02,1985-11-21,1986-04-06,5,,TRUE,,missed dark ice
