id,LANDSAT_SCENE_ID,Hylak_id,date,date_start,date_end,ice_fraction_visual,comission,omission,notes,comments
WRS227,LT50390201992158PAC03,36,1992-06-06,1991-10-30,1992-06-07,1,,,,
KMS10,LT50140302005098GNC01,767,2005-04-08,2005-01-22,2005-04-10,5,,TRUE,,missed dark ice
WRS279,LT50150281987104XXX01,108024,1987-04-14,1986-12-02,1987-04-15,3,,TRUE,,missed some dark ice
JGL02,LE70280302000063EDC00,9069,2000-03-03,1999-12-16,2000-03-06,5,,TRUE,,missed uniform dark ice; good example
KMS9,LT50180311989082XXX02,9129,1989-03-23,1988-12-12,1989-03-27,3,,,,
JGL02,LT50280301990347XXX03,9069,1990-12-13,1990-12-04,1991-04-02,2,,,,
JK22,LT51900161988133KIS00,12226,1988-05-12,1987-11-13,1988-05-13,3,,,,missed dark ice
JK36,LT51910142006125KIS00,11852,2006-05-05,2005-11-18,2006-05-08,4,,,,good example; showing RF captures dark ice;
MINN41,LT50260271994328XXX02,1013337,1994-11-24,1994-11-23,1995-05-08,NA,,,unclear,image unclear
JJM8,LT50240282007110PAC01,8736,2007-04-20,2006-12-25,2007-04-22,5,,TRUE,,missed uniform dark ice
